timestamp,soil_moisture,temperature,humidity,soil_pH,light_intensity
2026-05-18 20:00:33,76,39,78,5.98,260
2026-05-18 20:00:38,77,23,62,5.86,561
2026-05-18 20:00:43,79,30,90,5.98,300
2026-05-18 20:00:48,51,36,47,6.17,318
2026-05-18 20:00:53,45,25,65,5.91,985
2026-05-18 20:00:58,72,34,90,6.95,436
2026-05-18 20:01:03,20,36,54,7.16,426
2026-05-18 20:01:08,23,36,66,6.47,748
2026-05-18 20:01:13,58,35,47,7.1,544
2026-05-18 20:01:18,78,26,43,7.33,470
2026-05-18 20:01:23,28,38,83,5.72,861
2026-05-18 20:01:28,76,32,42,6.21,268
2026-05-18 20:01:33,78,24,63,6.03,671
2026-05-18 20:01:38,74,34,57,6.38,639
2026-05-18 20:01:43,55,22,69,6.06,357
2026-05-18 20:01:48,35,39,44,5.79,322
2026-05-18 20:01:53,40,26,61,6.66,608
2026-05-18 20:01:58,42,20,67,6.55,1000
2026-05-18 20:02:03,62,26,83,6.12,510
2026-05-18 20:02:08,60,31,41,6.28,979
2026-05-18 20:02:13,49,20,53,5.94,832
2026-05-18 20:02:18,57,39,58,6.46,989
2026-05-18 20:02:23,69,24,64,6.05,439
2026-05-18 20:02:28,74,26,89,6.5,441
2026-05-18 20:02:33,73,32,40,5.61,263
2026-05-18 20:02:38,63,33,61,5.76,405
2026-05-18 20:02:43,56,36,83,5.61,838
2026-05-18 20:02:48,23,27,71,6.54,328
2026-05-18 20:02:53,20,34,53,7.05,961
2026-05-18 20:02:58,52,34,78,6.64,270
2026-05-18 20:03:03,78,25,40,6.91,787
2026-05-18 20:03:08,39,26,63,7.24,345
2026-05-18 20:03:13,56,36,44,7.38,533
2026-05-18 20:03:18,25,39,51,5.92,545
2026-05-18 20:03:23,43,33,66,5.57,677
2026-05-18 20:03:28,46,38,43,5.69,296
2026-05-18 20:03:33,34,27,44,7.43,637
2026-05-18 20:03:38,53,28,71,5.81,928
2026-05-18 20:03:43,28,38,71,6.3,511
2026-05-18 20:03:48,38,30,77,7.04,511
2026-05-18 20:03:53,35,35,59,6.16,247
2026-05-18 20:03:58,79,23,85,6.83,951
2026-05-18 20:04:03,27,38,77,6.99,978
2026-05-18 20:04:08,38,24,68,6.5,687
2026-05-18 20:04:13,20,28,85,7.2,966
2026-05-18 20:04:18,67,27,52,6.14,493
2026-05-18 20:04:23,30,34,82,7.29,697
2026-05-18 20:04:28,79,40,89,7.49,640
2026-05-18 20:04:33,31,35,68,6.07,702
2026-05-18 20:04:38,69,26,49,5.56,798
2026-05-18 20:04:43,73,34,66,6.95,927
2026-05-18 20:04:48,24,29,51,6.95,696
2026-05-18 20:04:53,23,26,72,6.26,223
2026-05-18 20:04:58,22,40,42,5.98,884
2026-05-18 20:05:03,46,24,89,6.34,871
2026-05-18 20:05:08,27,27,87,6.13,213
2026-05-18 20:05:13,30,39,71,6.89,253
2026-05-18 20:05:18,61,37,47,6.63,895
2026-05-18 20:05:23,45,27,43,5.66,292
2026-05-18 20:05:28,25,31,55,6.29,781
2026-05-18 20:05:33,65,25,75,7.08,941
2026-05-18 20:05:38,25,37,55,7.1,983
2026-05-18 20:05:43,57,38,82,5.78,847
2026-05-18 20:05:48,75,23,41,6.51,331
2026-05-18 20:05:53,67,29,64,5.92,505
2026-05-18 20:05:58,26,21,49,5.79,433
2026-05-18 20:06:03,76,32,47,7.14,538
2026-05-18 20:06:08,28,29,58,6.61,942
2026-05-18 20:06:14,78,36,58,6.85,509
2026-05-18 20:06:19,77,30,76,6.98,522
2026-05-18 20:06:24,63,29,63,7.32,828
2026-05-18 20:06:29,30,25,87,6.69,448
2026-05-18 20:06:34,61,20,49,6.95,734
2026-05-18 20:06:39,38,24,77,6.84,415
2026-05-18 20:06:44,53,23,53,6.4,221
2026-05-18 20:06:49,73,29,86,6.0,303
2026-05-18 20:06:54,61,26,71,6.85,915
2026-05-18 20:06:59,29,40,45,6.08,648
2026-05-18 20:07:04,41,26,73,6.86,644
2026-05-18 20:07:09,66,20,59,7.27,207
2026-05-18 20:07:14,24,24,52,5.86,688
2026-05-18 20:07:19,74,26,55,5.96,570
2026-05-18 20:07:24,45,40,41,5.65,209
2026-05-18 20:07:29,63,34,84,7.23,951
2026-05-18 20:07:34,25,20,52,6.08,774
2026-05-18 20:07:39,22,20,64,6.7,314
2026-05-18 20:07:44,68,32,77,6.4,476
2026-05-18 20:07:49,76,28,83,6.76,284
2026-05-18 20:07:54,76,28,58,7.03,727
2026-05-18 20:07:59,58,37,85,6.05,663
2026-05-18 20:08:04,34,34,83,7.47,248
2026-05-18 20:08:09,61,35,65,7.19,493
2026-05-18 20:08:14,27,22,66,7.05,926
2026-05-18 20:08:19,77,31,40,7.14,873
2026-05-18 20:08:24,43,25,48,6.21,867
2026-05-18 20:08:29,23,26,66,7.27,372
2026-05-18 20:08:34,21,22,76,6.34,327
2026-05-18 20:08:39,73,40,59,7.38,449
2026-05-18 20:08:44,68,23,61,6.72,903
2026-05-18 20:08:49,35,26,61,6.2,891
2026-05-18 20:08:54,72,34,54,6.46,728
2026-05-18 20:08:59,33,23,58,5.76,655
2026-05-18 20:09:04,30,27,52,7.03,682
2026-05-18 20:09:09,63,35,47,7.08,810
2026-05-18 20:09:14,67,22,80,7.01,604
2026-05-18 20:09:19,20,29,46,5.82,509
2026-05-18 20:09:24,67,29,65,7.05,473
2026-05-18 20:09:29,26,40,72,6.81,897
2026-05-18 20:09:34,26,21,87,7.02,660
2026-05-18 20:09:39,25,32,81,7.14,680
2026-05-18 20:09:44,76,29,80,7.33,433
2026-05-18 20:09:49,74,32,44,6.96,291
2026-05-18 20:09:54,23,40,42,6.41,929
2026-05-18 20:09:59,78,22,44,6.81,876
2026-05-18 20:10:04,24,40,69,7.46,262
2026-05-18 20:10:09,44,24,86,5.67,776
2026-05-18 20:10:14,23,38,89,6.22,749
2026-05-18 20:10:19,68,29,69,6.89,527
2026-05-18 20:10:24,25,40,84,7.18,493
2026-05-18 20:10:29,23,35,71,6.17,410
2026-05-18 20:10:34,36,38,57,7.0,431
2026-05-18 20:10:39,56,38,54,6.43,521
2026-05-18 20:10:44,29,34,86,5.7,991
2026-05-18 20:10:49,23,34,88,6.94,974
2026-05-18 20:10:54,28,22,78,6.6,666
2026-05-18 20:10:59,22,24,63,6.61,597
2026-05-18 20:11:04,24,28,89,6.96,233
2026-05-18 20:11:09,25,38,86,6.05,640
2026-05-18 20:11:14,20,35,58,7.43,269
2026-05-18 20:11:19,50,21,46,6.59,501
2026-05-18 20:11:24,42,30,43,5.8,949
2026-05-18 20:11:29,43,24,77,5.61,497
2026-05-18 20:11:34,69,36,67,6.95,856
2026-05-18 20:11:39,26,23,88,6.76,919
2026-05-18 20:11:44,28,39,80,5.51,929
2026-05-18 20:11:49,45,33,51,5.78,498
2026-05-18 20:11:54,36,31,62,5.99,863
2026-05-18 20:11:59,62,38,51,6.39,801
2026-05-18 20:12:04,22,39,76,7.14,748
2026-05-18 20:12:09,51,20,60,6.23,594
2026-05-18 20:12:14,65,29,59,6.7,889
2026-05-18 20:12:19,49,27,85,6.77,473
2026-05-18 20:12:24,26,23,48,5.98,439
2026-05-18 20:12:29,25,32,44,6.52,927
2026-05-18 20:12:34,22,22,64,6.36,443
2026-05-18 20:12:39,23,24,59,6.8,525
2026-05-18 20:12:44,25,35,54,6.09,464
2026-05-18 20:12:49,69,33,69,5.51,793
2026-05-18 20:12:54,72,39,65,6.65,982
2026-05-18 20:12:59,48,40,89,7.03,986
2026-05-18 20:13:04,68,22,78,6.02,416
2026-05-18 20:13:09,24,32,89,7.43,818
2026-05-18 20:13:14,21,27,70,6.29,690
2026-05-18 20:13:19,25,27,83,5.98,747
2026-05-18 20:13:24,21,34,85,6.98,840
2026-05-18 20:13:29,77,39,41,6.82,338
2026-05-18 20:13:34,80,28,76,5.58,251
2026-05-18 20:13:39,26,39,73,5.69,253
2026-05-18 20:13:44,40,24,64,6.67,277
2026-05-18 20:13:50,66,25,51,6.14,940
2026-05-18 20:13:55,80,28,67,7.5,214
2026-05-18 20:14:00,78,25,44,6.35,622
2026-05-18 20:14:05,25,21,63,6.92,787
2026-05-18 20:14:10,75,25,63,7.31,297
2026-05-18 20:14:15,70,37,59,7.16,564
2026-05-18 20:14:20,74,23,76,5.57,388
2026-05-18 20:14:25,66,22,74,6.47,895
2026-05-18 20:14:30,79,38,76,6.61,670
2026-05-18 20:14:35,48,32,52,6.05,888
2026-05-18 20:14:40,25,34,84,6.56,955
2026-05-18 20:14:45,69,23,86,7.19,470
2026-05-18 20:14:50,79,31,84,7.47,755
2026-05-18 20:14:55,69,37,86,5.8,341
2026-05-18 20:15:00,49,20,66,5.53,762
2026-05-18 20:15:05,21,35,48,6.12,211
2026-05-18 20:15:10,29,25,41,6.16,203
2026-05-18 20:15:15,71,35,45,6.62,308
2026-05-18 20:15:20,35,37,40,7.41,372
2026-05-18 20:15:25,37,37,56,6.75,390
2026-05-18 20:15:30,49,30,82,6.66,300
2026-05-18 20:15:35,24,24,76,6.28,444
2026-05-18 20:15:40,72,36,84,6.18,912
2026-05-18 20:15:45,39,33,47,5.75,243
2026-05-18 20:15:50,76,36,65,6.89,913
2026-05-18 20:15:55,69,34,40,5.81,640
2026-05-18 20:16:00,62,38,40,7.23,777
2026-05-18 20:16:05,25,25,69,6.9,221
2026-05-18 20:16:10,50,20,88,5.51,294
2026-05-18 20:16:15,62,36,54,7.16,746
2026-05-18 20:16:20,23,39,83,7.06,847
2026-05-18 20:16:25,49,31,43,5.75,254
2026-05-18 20:16:30,31,21,70,6.19,673
2026-05-18 20:16:35,75,35,65,6.3,303
2026-05-18 20:16:40,46,35,48,6.07,690
2026-05-18 20:16:45,50,35,54,5.67,408
2026-05-18 20:16:50,61,25,80,6.14,764
2026-05-18 20:16:55,48,22,47,6.84,526
2026-05-18 20:17:00,61,37,40,5.71,375
2026-05-18 20:17:05,34,24,46,6.13,645
2026-05-18 20:17:10,69,31,47,7.04,784
2026-05-18 20:17:15,20,26,58,7.48,495
2026-05-18 20:17:20,69,28,48,7.35,322
2026-05-18 20:17:25,52,31,46,6.04,832
2026-05-18 20:17:30,31,31,40,6.53,733
2026-05-18 20:17:35,29,28,81,6.43,765
2026-05-18 20:17:40,52,30,54,5.69,468
2026-05-18 20:17:45,74,22,86,6.65,989
2026-05-18 20:17:50,51,26,52,7.5,838
2026-05-18 20:17:55,36,22,88,7.25,591
2026-05-18 20:18:00,54,32,52,6.36,655
2026-05-18 20:18:05,38,21,44,5.55,611
2026-05-18 20:18:10,43,22,49,6.22,331
2026-05-18 20:18:15,25,31,75,7.36,784
2026-05-18 20:18:20,60,28,66,6.97,639
2026-05-18 20:18:25,20,38,60,6.23,224
2026-05-18 20:18:30,26,28,44,7.01,956
2026-05-18 20:18:35,25,28,59,6.09,334
2026-05-18 20:18:40,76,26,67,6.77,890
2026-05-18 20:18:45,65,25,41,6.12,790
2026-05-18 20:18:50,62,30,69,6.64,247
2026-05-18 20:21:44,57,21,76,7.17,842
2026-05-18 20:21:49,68,37,65,7.06,958
2026-05-18 20:21:54,61,23,74,7.45,831
2026-05-18 20:21:59,49,27,62,6.7,546
2026-05-18 20:22:04,40,22,72,5.66,280
2026-05-18 20:22:09,40,24,71,6.63,974
2026-05-18 20:22:14,50,31,75,6.72,907
2026-05-18 20:42:18,25,22,87,6.11,906
2026-05-18 23:46:40,64,27,58,7.17,666
2026-05-18 23:46:45,68,36,77,5.72,404
2026-05-18 23:46:50,74,27,43,7.41,888
2026-05-18 23:46:55,66,33,68,6.52,205
2026-05-18 23:47:00,74,21,55,6.13,665
2026-05-18 23:47:05,22,38,40,6.65,728
2026-05-20 09:07:31,71,22,90,7.36,684
2026-05-20 09:07:36,66,32,51,6.97,265
2026-05-20 09:07:41,28,40,46,5.94,250
2026-05-20 09:07:46,23,39,51,7.5,957
2026-05-20 09:16:47,32,31,72,7.2,309
2026-05-20 09:16:52,25,25,52,6.62,496
2026-05-20 09:16:57,26,33,81,7.06,441
2026-05-20 09:17:02,80,34,57,5.86,677
2026-05-20 09:17:07,37,34,75,7.38,980
2026-05-20 09:17:12,72,34,84,5.56,970
2026-05-20 09:17:17,55,27,82,6.17,632
2026-05-20 09:17:22,51,25,66,6.65,552
2026-05-20 09:17:27,73,25,49,7.18,941
2026-05-20 09:17:32,23,28,66,6.42,670
2026-05-20 09:17:37,68,26,49,6.75,555
2026-05-20 09:17:42,65,27,45,6.49,204
2026-05-20 09:17:47,29,23,61,7.14,935
2026-05-20 09:17:52,28,36,87,6.49,548
2026-05-20 09:17:57,20,27,43,6.55,396
2026-05-20 09:18:02,29,26,75,5.71,573
2026-05-20 09:18:07,52,36,87,6.87,908
2026-05-20 09:18:12,22,25,90,6.72,403
2026-05-20 09:18:17,69,33,67,7.11,598
2026-05-20 09:18:22,78,32,84,7.28,783
2026-05-20 09:18:27,35,22,82,6.2,324
2026-05-20 09:18:32,65,34,62,6.33,651
2026-05-20 09:18:37,65,36,42,7.23,440
2026-05-20 09:18:42,44,32,65,5.69,409
2026-05-20 09:18:47,66,22,84,6.05,741
2026-05-20 09:18:52,26,38,90,5.66,224
2026-05-20 09:18:57,53,26,87,7.22,385
2026-05-20 09:19:02,70,32,74,6.61,929
2026-05-20 09:19:07,20,22,72,5.75,928
2026-05-20 09:19:12,79,20,69,5.7,240
2026-05-20 09:19:17,61,27,43,7.29,631
2026-05-20 09:19:22,80,22,72,7.2,254
2026-05-20 09:19:27,44,38,63,5.66,673
2026-05-20 09:19:32,78,22,41,5.88,819
2026-05-20 09:19:37,53,28,75,6.04,267
2026-05-20 09:19:42,40,21,51,5.53,984
